"","seqnames","start","end","width","strand","Conc","Conc_F","Conc_M","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","Symbol.ENTREZID","Symbol.SYMBOL"
"29235","chr16", 30206782, 30207182,401,"*", 4.735174, 5.439001, 3.305369, 1.2040878,1.228799e-06,0.008768265,"Promoter (<=1kb)",16, 30180469, 30207303, 26835,2,"224088","ENSMUST00000153656.2",    121,224088,Atp13a3
"43319","chr2", 98492505, 98492905,401,"*",12.491626,12.155045,12.764347,-0.5802619,1.384559e-06,0.009056402,"Distal Intergenic", 2, 97298434, 97459408,160975,1,"241568","ENSMUST00000170144.2",1194071,241568,Lrrc4c
"55435","chr5", 32028609, 32029009,401,"*", 4.171685, 4.906317, 2.598335, 1.1882324,1.677012e-06,0.009117013,"Intron (ENSMUST00000201352.4/107976, intron 6 of 11)", 5, 31942727, 31977987, 35261,1,"107976","ENSMUST00000202270.2",  85882,107976,Babam2
"32356","chr17", 31996760, 31997160,401,"*", 5.070274, 5.717850, 3.864263, 1.1805761,1.686047e-06,0.009117013,"Distal Intergenic",17, 32068728, 32070549,  1822,2,"17691","ENSMUST00000234867.2",  73389,17691,Sik1
"22067","chr14",  8348742,  8349142,401,"*", 5.354671, 5.904491, 4.455238, 1.0792771,1.841127e-06,0.009117013,"Promoter (<=1kb)",14,  8348779,  8357589,  8811,1,"66413","ENSMUST00000022256.5",      0,66413,Psmd6
"1798","chr1", 87259178, 87259578,401,"*", 4.855737, 5.467679, 3.771636, 1.1280762,1.858434e-06,0.009117013,"Intron (ENSMUST00000174846.8/227331, intron 1 of 3)", 1, 87254788, 87361521,106734,1,"227331","ENSMUST00000173173.8",   4390,227331,Gigyf2
"12059","chr11", 75947284, 75947684,401,"*", 4.952574, 5.560332, 3.881943, 1.1465454,2.239190e-06,0.010338736,"Intron (ENSMUST00000056601.11/68299, intron 19 of 21)",11, 75910020, 75918608,  8589,2,"76566","ENSMUST00000021207.7", -28676,76566,Rflnb
"4466","chr1",184203450,184203850,401,"*", 5.589098, 6.113472, 4.756944, 1.0727180,2.845908e-06,0.011560101,"Distal Intergenic", 1,184260038,184289888, 29851,2,"73590","ENSMUST00000188766.2",  86038,73590,1700112H15Rik
"56786","chr5", 90474616, 90475016,401,"*", 4.845229, 5.466397, 3.730818, 1.1305678,3.095236e-06,0.011560101,"Intron (ENSMUST00000014421.15/81702, intron 1 of 33)", 5, 90376600, 90487602,111003,2,"81702","ENSMUST00000197021.2",  12586,81702,Ankrd17
"29127","chr16", 24449076, 24449476,401,"*", 4.571698, 5.202582, 3.424456, 1.1454489,3.162180e-06,0.011560101,"Intron (ENSMUST00000231352.2/210126, intron 5 of 6)",16, 24540605, 24798280,257676,1,"210126","ENSMUST00000115314.4", -91129,210126,Lpp
"35791","chr18", 35912936, 35913336,401,"*", 4.786609, 5.407006, 3.674765, 1.1103762,3.390509e-06,0.011560101,"Intron (ENSMUST00000170693.9/56550, intron 1 of 6)",18, 35920377, 35940214, 19838,1,"56550","ENSMUST00000236235.2",  -7041,56550,Ube2d2a
"47125","chr3", 51338819, 51339219,401,"*", 4.440499, 5.108178, 3.159410, 1.1443058,3.408531e-06,0.011560101,"Intron (ENSMUST00000193266.6/74838, intron 1 of 19)", 3, 51349327, 51355980,  6654,1,"74838","ENSMUST00000192197.2", -10108,74838,Naa15
"10299","chr11", 48993871, 48994271,401,"*", 4.927052, 5.545417, 3.821940, 1.1190761,3.682291e-06,0.011560101,"Intron (ENSMUST00000056759.11/15953, intron 2 of 4)",11, 49003604, 49004584,   981,2,"258334","ENSMUST00000203007.2",  10313,258334,Or2v2
"53582","chr4",137516364,137516764,401,"*", 4.554695, 5.200098, 3.356513, 1.1335772,3.701235e-06,0.011560101,"Intron (ENSMUST00000030551.11/11647, intron 1 of 11)", 4,137482397,137512682, 30286,2,"11647","ENSMUST00000133473.2",  -3682,11647,Alpl
"14285","chr11",104237891,104238291,401,"*", 4.916716, 5.502087, 3.915492, 1.1108784,3.821128e-06,0.011560101,"Intron (ENSMUST00000106977.8/76719, intron 7 of 13)",11,104225747,104232125,  6379,2,"76719","ENSMUST00000069188.7",  -5766,76719,Kansl1
"53397","chr4",135714379,135714779,401,"*", 5.461686, 6.038643, 4.485441, 1.1187115,3.956336e-06,0.011560101,"Promoter (<=1kb)", 4,135702771,135714575, 11805,2,"66193","ENSMUST00000105851.9",      0,66193,Pithd1
"28398","chr16",  4017217,  4017617,401,"*", 4.757133, 5.367878, 3.676898, 1.1311687,3.976491e-06,0.011560101,"Intron (ENSMUST00000023165.9/12914, intron 1 of 30)",16,  3901565,  4031277,129713,2,"12914","ENSMUST00000205765.2",  13660,12914,Crebbp
"64958","chr7", 37807195, 37807595,401,"*", 5.022778, 5.658663, 3.858250, 1.1083002,4.417048e-06,0.011945340,"Promoter (<=1kb)", 7, 37797409, 37806959,  9551,2,"12447","ENSMUST00000108023.10",   -236,12447,Ccne1
"9391","chr11", 11786748, 11787148,401,"*", 5.162945, 5.765752, 4.108049, 1.0698652,4.503287e-06,0.011945340,"Promoter (<=1kb)",11, 11769351, 11786280, 16930,2,"13195","ENSMUST00000134401.2",   -468,13195,Ddc
"44496","chr2",135615711,135616111,401,"*", 5.728919, 6.244010, 4.920269, 1.0148137,4.565563e-06,0.011945340,"Intron (ENSMUST00000146018.8/18798, intron 2 of 2)", 2,135606831,135750328,143498,1,"18798","ENSMUST00000127729.8",   8880,18798,Plcb4
"13467","chr11", 95744527, 95744927,401,"*", 5.006634, 5.582335, 4.034067, 1.0497390,5.142153e-06,0.012818420,"Distal Intergenic",11, 95749664, 95751870,  2207,1,"73906","ENSMUST00000146868.3",  -4737,73906,4833417C18Rik
"74710","chr9", 57842918, 57843318,401,"*", 4.881463, 5.471769, 3.865311, 1.0963781,5.225876e-06,0.012818420,"Distal Intergenic", 9, 57847395, 57862171, 14777,1,"20361","ENSMUST00000214314.2",  -4077,20361,Sema7a
"24476","chr14", 79438414, 79438814,401,"*", 4.536595, 5.231305, 3.146124, 1.1211802,6.037053e-06,0.013752731,"Promoter (1-2kb)",14, 79416334, 79436630, 20297,2,"100043765","ENSMUST00000228380.2",  -1784,100043765,Gm4632
"59458","chr5",146900298,146900698,401,"*", 4.994723, 5.562850, 4.044083, 1.0647215,6.039043e-06,0.013752731,"Promoter (<=1kb)", 5,146888383,146900595, 12213,2,"76366","ENSMUST00000066675.10",      0,76366,Mtif3
"10018","chr11", 35725030, 35725430,401,"*", 5.080899, 5.667899, 4.074771, 1.0805026,6.132416e-06,0.013752731,"Promoter (<=1kb)",11, 35699208, 35725333, 26126,2,"104458","ENSMUST00000018992.4",      0,104458,Rars1
"6491","chr10", 61484445, 61484845,401,"*", 5.582111, 6.131384, 4.684169, 1.0441853,6.448539e-06,0.014059965,"Promoter (<=1kb)",10, 61484400, 61488599,  4200,1,"67895","ENSMUST00000160470.2",     45,67895,Ppa1
"11691","chr11", 70667967, 70668367,401,"*", 4.820147, 5.425555, 3.757013, 1.0790065,6.909651e-06,0.014440769,"Distal Intergenic",11, 70655035, 70663754,  8720,1,"193043","ENSMUST00000060444.6",  12932,193043,Zfp3
"35650","chr18", 34995199, 34995599,401,"*", 4.601102, 5.248063, 3.397314, 1.1018141,7.456249e-06,0.014440769,"Promoter (<=1kb)",18, 34994260, 34998009,  3750,1,"13653","ENSMUST00000165033.2",    939,13653,Egr1
"57773","chr5",115162550,115162950,401,"*", 5.104952, 5.690580, 4.102954, 1.0654181,7.515138e-06,0.014440769,"Intron (ENSMUST00000031530.9/74585, intron 1 of 10)", 5,115149556,115222944, 73389,1,"74585","ENSMUST00000128590.3",  12994,74585,Sppl3
"12687","chr11", 83331430, 83331830,401,"*", 5.705102, 6.247065, 4.826909, 1.0223319,7.645599e-06,0.014440769,"Promoter (<=1kb)",11, 83330957, 83331654,   698,1,"66330","ENSMUST00000188702.2",    473,66330,1700020L24Rik
"439","chr1", 39517815, 39518215,401,"*", 5.328190, 5.877543, 4.430033, 1.0155319,7.703123e-06,0.014440769,"Promoter (<=1kb)", 1, 39410573, 39517836,107264,2,"54610","ENSMUST00000054462.11",      0,54610,Tbc1d8
"43320","chr2", 98495241, 98495641,401,"*",11.742967,11.416376,12.009102,-0.5676638,7.882241e-06,0.014440769,"Distal Intergenic", 2, 97298434, 97459408,160975,1,"241568","ENSMUST00000170144.2",1196807,241568,Lrrc4c
"61648","chr6", 86770228, 86770628,401,"*", 5.495053, 6.028008, 4.640694, 0.9877650,7.911036e-06,0.014440769,"Promoter (<=1kb)", 6, 86713823, 86770566, 56744,2,"11746","ENSMUST00000001187.15",      0,11746,Anxa4
"5945","chr10", 40296265, 40296665,401,"*", 4.587327, 5.203930, 3.488019, 1.0927039,8.179356e-06,0.014525746,"Intron (ENSMUST00000216736.2/78334, intron 2 of 11)",10, 40225522, 40358097,132576,1,"78334","ENSMUST00000214659.2",  70743,78334,Cdk19
"54762","chr4",155784826,155785226,401,"*", 4.773332, 5.379616, 3.707407, 1.0932914,8.327709e-06,0.014525746,"Distal Intergenic", 4,155789257,155818336, 29080,1,"68991","ENSMUST00000030905.9",  -4031,68991,Ssu72
"68961","chr8", 11045275, 11045675,401,"*", 4.157173, 4.857305, 2.743467, 1.1014834,8.981144e-06,0.014653837,"Intron (ENSMUST00000040514.8/384783, intron 1 of 1)", 8, 11057850, 11104536, 46687,1,"619321","ENSMUST00000180750.8", -12175,619321,9530052E02Rik
"762","chr1", 52669773, 52670173,401,"*", 5.218667, 5.800662, 4.227531, 1.0501843,9.190394e-06,0.014653837,"Promoter (<=1kb)", 1, 52669862, 52691078, 21217,1,"227094","ENSMUST00000165859.8",      0,227094,Nemp2
"38301","chr19", 10366015, 10366415,401,"*", 5.223756, 5.785965, 4.289939, 1.0404740,9.233844e-06,0.014653837,"Promoter (<=1kb)",19, 10366454, 10425808, 59355,1,"54525","ENSMUST00000073899.6",    -39,54525,Syt7
"37042","chr18", 67933084, 67933484,401,"*", 5.730873, 6.266654, 4.869091, 0.9907402,9.295342e-06,0.014653837,"Promoter (<=1kb)",18, 67933177, 68018241, 85065,1,"70799","ENSMUST00000025425.7",      0,70799,Cep192
"46284","chr2",181064223,181064623,401,"*", 4.609415, 5.245920, 3.442722, 1.0791728,9.334605e-06,0.014653837,"Promoter (1-2kb)", 2,181032679,181066181, 33503,2,"72147","ENSMUST00000180222.8",   1558,72147,Zbtb46
"62131","chr6", 94665843, 94666243,401,"*", 5.147092, 5.693243, 4.257627, 1.0610741,9.850475e-06,0.014976253,"Intron (ENSMUST00000204645.3/16206, intron 1 of 19)", 6, 94602015, 94657611, 55597,2,"16206","ENSMUST00000141014.8",  -8232,16206,Lrig1
"50894","chr4", 55749759, 55750159,401,"*", 4.898324, 5.460010, 3.965980, 1.0599057,1.005936e-05,0.014976253,"Distal Intergenic", 4, 55605149, 55636901, 31753,1,"102637640","ENSMUST00000123620.2", 144610,102637640,Gm12506
"30239","chr16", 55715482, 55715882,401,"*", 5.349974, 5.889349, 4.478682, 1.0429321,1.016863e-05,0.014976253,"Promoter (<=1kb)",16, 55660316, 55715648, 55333,2,"385658","ENSMUST00000099705.5",      0,385658,Nxpe3
"58796","chr5",134776675,134777075,401,"*", 6.209252, 6.709967, 5.435970, 1.0601120,1.030319e-05,0.014976253,"Promoter (<=1kb)", 5,134731447,134776177, 44731,2,"13717","ENSMUST00000015138.13",   -498,13717,Eln
"52276","chr4",119177601,119178001,401,"*", 5.417593, 5.938006, 4.595534, 0.9831220,1.075237e-05,0.015195924,"Promoter (<=1kb)", 4,119157207,119177681, 20475,2,"66101","ENSMUST00000056458.14",      0,66101,Ppih
"27643","chr15", 93296044, 93296444,401,"*", 5.495159, 6.013434, 4.678508, 1.0113398,1.096340e-05,0.015195924,"Promoter (<=1kb)",15, 93296231, 93387189, 90959,1,"223828","ENSMUST00000109256.11",      0,223828,Pphln1
"17673","chr12", 80816468, 80816868,401,"*", 4.840882, 5.422752, 3.850121, 1.0546751,1.103511e-05,0.015195924,"Distal Intergenic",12, 80800817, 80807461,  6645,2,"380768","ENSMUST00000073251.8",  -9007,380768,Ccdc177
"54106","chr4",147893893,147894293,401,"*", 5.791548, 6.300642, 4.997799, 0.9701986,1.209616e-05,0.015248171,"Promoter (<=1kb)", 4,147838431,147894245, 55815,2,"100041677","ENSMUST00000105734.10",      0,100041677,Zfp984
"31366","chr17", 10282748, 10283148,401,"*", 4.804408, 5.416106, 3.721094, 1.0523809,1.213043e-05,0.015248171,"Distal Intergenic",17, 10145522, 10148696,  3175,2,"118567366","ENSMUST00000232911.2",-134052,118567366,Gm34799
"36305","chr18", 44654753, 44655153,401,"*", 4.677929, 5.266131, 3.668165, 1.0725582,1.217403e-05,0.015248171,"Intron (ENSMUST00000089874.9/328949, intron 4 of 18)",18, 44794732, 44809338, 14607,1,"626275","ENSMUST00000181094.2",-139579,626275,A930012L18Rik
"21582","chr13",104315155,104315555,401,"*", 6.136502, 6.605451, 5.437270, 0.9334985,1.221655e-05,0.015248171,"Promoter (<=1kb)",13,104315305,104339525, 24221,1,"81003","ENSMUST00000022225.12",      0,81003,Trim23
"71326","chr8", 94738357, 94738757,401,"*", 5.160496, 5.706935, 4.270255, 1.0110935,1.250688e-05,0.015248171,"Promoter (<=1kb)", 8, 94725843, 94738755, 12913,2,"23802","ENSMUST00000143265.2",      0,23802,Amfr
"1963","chr1", 90351867, 90352267,401,"*", 4.502314, 5.143654, 3.318618, 1.0776737,1.256914e-05,0.015248171,"Distal Intergenic", 1, 90381116, 90382223,  1108,2,"105246660","ENSMUST00000187630.2",  29956,105246660,Gm28722
"16327","chr12", 32893169, 32893569,401,"*", 4.233252, 4.920263, 2.875004, 1.0801223,1.258011e-05,0.015248171,"Intron (ENSMUST00000020886.9/59027, intron 8 of 10)",12, 32870800, 32885011, 14212,1,"59027","ENSMUST00000218491.2",  22369,59027,Nampt
"40195","chr19", 59333929, 59334329,401,"*", 5.670644, 6.163136, 4.917059, 0.9446561,1.282875e-05,0.015248171,"Promoter (<=1kb)",19, 59285610, 59334212, 48603,2,"107368","ENSMUST00000099274.4",      0,107368,Pdzd8
"1327","chr1", 64485129, 64485529,401,"*", 4.870452, 5.460753, 3.854317, 1.0594280,1.298954e-05,0.015248171,"Distal Intergenic", 1, 64571804, 64636854, 65051,1,"12912","ENSMUST00000185594.7", -86275,12912,Creb1
"6403","chr10", 60131789, 60132189,401,"*", 4.730023, 5.312013, 3.738905, 1.0503031,1.301569e-05,0.015248171,"Intron (ENSMUST00000105465.8/19156, intron 7 of 13)",10, 60139131, 60141428,  2298,2,"22295","ENSMUST00000156501.3",   9239,22295,Cdh23
"3091","chr1",139371137,139371537,401,"*", 4.285648, 4.965021, 2.958505, 1.0764554,1.330632e-05,0.015359405,"Intron (ENSMUST00000039867.10/226470, intron 10 of 10)", 1,139382510,139421826, 39317,1,"12316","ENSMUST00000200083.5", -10973,12316,Aspm
"36815","chr18", 61959229, 61959629,401,"*", 5.364505, 5.907694, 4.483026, 1.0188796,1.352694e-05,0.015376198,"Exon (ENSMUST00000166783.3/319713, exon 9 of 24)",18, 61863332, 61919773, 56442,2,"106877","ENSMUST00000120472.2", -39456,106877,Afap1l1
"15971","chr12", 16276899, 16277299,401,"*", 4.167671, 4.849794, 2.829427, 1.0790519,1.371266e-05,0.015376198,"Intron (ENSMUST00000222537.2/115488030, intron 1 of 5)",12, 16279751, 16282228,  2478,2,"102640260","ENSMUST00000220475.2",   4929,102640260,Gm36372
"579","chr1", 43508444, 43508844,401,"*", 4.560269, 5.186519, 3.428804, 1.0684314,1.423460e-05,0.015443405,"Intron (ENSMUST00000187435.7/17974, intron 1 of 2)", 1, 43484911, 43609675,124765,1,"17974","ENSMUST00000086421.9",  23533,17974,Nck2
"27291","chr15", 82922079, 82922479,401,"*", 5.162114, 5.774435, 4.076781, 1.0401138,1.435552e-05,0.015443405,"Distal Intergenic",15, 82877174, 82917507, 40334,2,"74039","ENSMUST00000231165.2",  -4572,74039,Nfam1
"29536","chr16", 33071594, 33071994,401,"*", 6.488836, 6.950156, 5.806600, 0.9453944,1.461947e-05,0.015443405,"Promoter (<=1kb)",16, 33071812, 33085111, 13300,1,"69150","ENSMUST00000232228.2",      0,69150,Snx4
"28236","chr15",102132915,102133315,401,"*", 5.175705, 5.704150, 4.333076, 1.0045027,1.476765e-05,0.015443405,"5' UTR",15,102132810,102140343,  7534,2,"16421","ENSMUST00000230652.2",   7028,16421,Itgb7
"181","chr1", 24717685, 24718085,401,"*", 6.022359, 6.483716, 5.340043, 0.9080836,1.493138e-05,0.015443405,"Promoter (<=1kb)", 1, 24717711, 24804529, 86819,1,"68421","ENSMUST00000191471.7",      0,68421,Lmbrd1
"7885","chr10", 93425143, 93425543,401,"*", 5.470028, 5.983284, 4.665961, 0.9650432,1.499564e-05,0.015443405,"Promoter (<=1kb)",10, 93425275, 93441107, 15833,1,"74454","ENSMUST00000181835.2",      0,74454,4933408J17Rik
"69497","chr8", 34522753, 34523153,401,"*", 5.158728, 5.685195, 4.321202, 1.0013373,1.538337e-05,0.015443405,"Exon (ENSMUST00000139529.2/ENSMUST00000139529.2, exon 2 of 2)", 8, 34557761, 34560079,  2319,2,"22428","ENSMUST00000123113.2",  36926,22428,Dctn6
"67814","chr7",124992919,124993319,401,"*", 5.018601, 5.581814, 4.081950, 1.0676786,1.544847e-05,0.015443405,"Distal Intergenic", 7,125016166,125017286,  1121,2,"102632721","ENSMUST00000206549.2",  23967,102632721,Gm30717
"21677","chr13",110720802,110721202,401,"*", 4.702858, 5.289727, 3.697122, 1.0260903,1.554335e-05,0.015443405,"Distal Intergenic",13,110763822,110765745,  1924,1,"102635797","ENSMUST00000209229.2", -42620,102635797,Gm33045
"59864","chr6",  8209243,  8209643,401,"*", 5.756980, 6.281968, 4.923253, 0.9864430,1.623346e-05,0.015927457,"Promoter (<=1kb)", 6,  8209222,  8236274, 27053,1,"252875","ENSMUST00000040017.8",     21,252875,Mios
"68791","chr7",144533471,144533871,401,"*", 4.409461, 5.055378, 3.209431, 1.0648333,1.731614e-05,0.016779978,"Distal Intergenic", 7,144486935,144493662,  6728,2,"12443","ENSMUST00000208193.2", -39809,12443,Ccnd1
"72224","chr8",120637656,120638056,401,"*", 5.771304, 6.283121, 4.970815, 0.9541705,1.776122e-05,0.017001388,"Promoter (<=1kb)", 8,120637596,120678673, 41078,1,"22224","ENSMUST00000108982.11",     60,22224,Usp10
"27455","chr15", 85509827, 85510227,401,"*", 5.056538, 5.603335, 4.165325, 1.0129827,1.798701e-05,0.017010073,"Distal Intergenic",15, 85537757, 85591728, 53972,1,"102800312","ENSMUST00000230913.3", -27530,102800312,Lncppara
"72441","chr8",122556300,122556700,401,"*", 5.592788, 6.095838, 4.813843, 0.9478583,1.871377e-05,0.017486678,"Promoter (<=1kb)", 8,122523052,122556308, 33257,2,"234825","ENSMUST00000045884.17",      0,234825,Klhdc4
"57213","chr5",105802394,105802794,401,"*", 6.201755, 6.680531, 5.480188, 0.9304096,1.895714e-05,0.017505696,"Distal Intergenic", 5,105847835,105963081,115247,1,"231549","ENSMUST00000060531.16", -45041,231549,Lrrc8d
"16146","chr12", 24706752, 24707152,401,"*", 4.887726, 5.501925, 3.796285, 1.0277760,1.922329e-05,0.017545049,"Intron (ENSMUST00000020982.7/194655, intron 3 of 3)",12, 24702153, 24705136,  2984,1,"194655","ENSMUST00000144046.2",   4599,194655,Klf11
"58017","chr5",120643410,120643810,401,"*", 4.957403, 5.506135, 4.060935, 1.0126865,1.962408e-05,0.017704980,"Promoter (1-2kb)", 5,120621347,120641690, 20344,2,"71772","ENSMUST00000031597.7",  -1720,71772,Plbd2
"66722","chr7", 99880816, 99881216,401,"*", 4.537443, 5.154435, 3.436854, 1.0482160,2.035677e-05,0.018157317,"Intron (ENSMUST00000084935.11/70974, intron 1 of 13)", 7, 99876917, 99928075, 51159,1,"70974","ENSMUST00000054436.9",   3899,70974,Pgm2l1
"16067","chr12", 17804644, 17805044,401,"*", 4.531638, 5.150855, 3.423705, 1.0533366,2.073700e-05,0.018244495,"Intron (ENSMUST00000071858.5/53602, intron 1 of 3)",12, 17778227, 17841127, 62901,1,"53602","ENSMUST00000222944.2",  26417,53602,Hpcal1
"21703","chr13",111599946,111600346,401,"*", 4.763783, 5.374981, 3.682086, 1.0314074,2.103327e-05,0.018244495,"Intron (ENSMUST00000047627.14/73274, intron 3 of 12)",13,111577276,111589957, 12682,2,"73274","ENSMUST00000129638.2",  -9989,73274,Gpbp1
"45776","chr2",166555563,166555963,401,"*", 5.370599, 5.882934, 4.568825, 0.9686400,2.115182e-05,0.018244495,"Promoter (<=1kb)", 2,166408262,166555752,147491,2,"277360","ENSMUST00000036719.12",      0,277360,Prex1
"3508","chr1",155688366,155688766,401,"*", 5.823494, 6.351447, 4.982136, 0.9710303,2.245592e-05,0.018788876,"Promoter (<=1kb)", 1,155653904,155688635, 34732,2,"104009","ENSMUST00000035325.15",      0,104009,Qsox1
"54129","chr4",148053540,148053940,401,"*", 4.557222, 5.165850, 3.483802, 1.0323189,2.249905e-05,0.018788876,"Distal Intergenic", 4,148070245,148071662,  1418,1,"18158","ENSMUST00000103231.5", -16305,18158,Nppb
"872","chr1", 54865679, 54866079,401,"*", 5.781176, 6.306196, 4.947369, 1.0323325,2.250107e-05,0.018788876,"Intron (ENSMUST00000179030.8/329154, intron 2 of 27)", 1, 54801527, 54852602, 51076,2,"329154","ENSMUST00000178905.2", -13077,329154,Ankrd44
"8497","chr10",116341363,116341763,401,"*", 4.287059, 4.983219, 2.890422, 1.0499052,2.341336e-05,0.019344860,"Intron (ENSMUST00000168036.8/72068, intron 5 of 14)",10,116344957,116358488, 13532,1,"102633868","ENSMUST00000219210.2",  -3194,102633868,Gm31593
"2718","chr1",133331754,133332154,401,"*", 5.204449, 5.716575, 4.403192, 0.9626693,2.386654e-05,0.019513883,"Intron (ENSMUST00000153799.8/20668, intron 1 of 13)", 1,133311389,133321008,  9620,2,"20668","ENSMUST00000094551.5", -10746,20668,Sox13
"22100","chr14", 10495080, 10495480,401,"*", 4.880263, 5.469467, 3.867463, 1.0119305,2.451102e-05,0.019834216,"Intron (ENSMUST00000248537.1/19270, intron 4 of 29)",14, 10347631, 10378603, 30973,2,"19270","ENSMUST00000248717.1",-116477,19270,Ptprg
"9704","chr11", 23582870, 23583270,401,"*", 4.870420, 5.430857, 3.941587, 1.0111349,2.490044e-05,0.019877164,"Promoter (<=1kb)",11, 23514961, 23583549, 68589,2,"71675","ENSMUST00000155903.8",    279,71675,Sanbr
"35171","chr18", 12139699, 12140099,401,"*", 4.945459, 5.513791, 3.994232, 1.0139474,2.507057e-05,0.019877164,"Intron (ENSMUST00000209628.2/338363, intron 8 of 9)",18, 12097507, 12207688,110182,2,"338363","ENSMUST00000209628.2",  67589,338363,Tmem241
"138","chr1", 20960978, 20961378,401,"*", 4.847116, 5.384116, 3.982118, 1.0275157,2.625322e-05,0.020216173,"Promoter (<=1kb)", 1, 20960830, 21009874, 49045,1,"74229","ENSMUST00000189400.7",    148,74229,Paqr8
"73050","chr9",  3024295,  3024695,401,"*",11.348126,11.030811,11.608077,-0.5761112,2.634841e-05,0.020216173,"Distal Intergenic", 9,  3038669,  3038743,    75,2,"100628572","ENSMUST00000195989.2",  14048,100628572,Mir101c
"62756","chr6",117321230,117321630,401,"*", 4.557711, 5.140499, 3.564213, 1.0252975,2.654574e-05,0.020216173,"Distal Intergenic", 6,117472196,117477038,  4843,1,"100126203","ENSMUST00000204274.2",-150566,100126203,6820426E19Rik
"28734","chr16", 13225390, 13225790,401,"*", 4.432667, 5.042388, 3.355735, 1.0423650,2.657614e-05,0.020216173,"Promoter (2-3kb)",16, 13214776, 13222546,  7771,2,"102635268","ENSMUST00000131985.2",  -2844,102635268,Gm15738
"73682","chr9", 32337318, 32337718,401,"*", 5.502464, 6.027664, 4.668195, 0.9635858,2.699371e-05,0.020216173,"Exon (ENSMUST00000016231.14/14247, exon 8 of 9)", 9, 32358118, 32358224,   107,2,"115487336","ENSMUST00000082558.3",  20506,115487336,Gm22060
"1926","chr1", 89508697, 89509097,401,"*", 5.111513, 5.674586, 4.175257, 1.0147574,2.704350e-05,0.020216173,"Promoter (<=1kb)", 1, 89507958, 89822999,315042,1,"347722","ENSMUST00000074945.8",    739,347722,Agap1
"61882","chr6", 91579015, 91579415,401,"*", 5.290844, 5.808667, 4.475331, 0.9835437,2.823906e-05,0.020852680,"Intron (ENSMUST00000205533.2/ENSMUST00000205533.2, intron 1 of 1)", 6, 91661034, 91736047, 75014,1,"21366","ENSMUST00000032185.9", -81619,21366,Slc6a6
"39367","chr19", 40533175, 40533575,401,"*", 5.294022, 5.837517, 4.411718, 0.9870170,2.865834e-05,0.020852680,"Distal Intergenic",19, 40541871, 40543185,  1315,2,"56454","ENSMUST00000175967.2",   9610,56454,Aldh18a1
